id,dv_response,dv_balance,EM_MONTHS_LAST_OPEN,EM_COUNT_VALID,EM_ALL_OPT_OUT_FLAG,POS_NUM_ORDERS,POS_REVENUE_BASE,POS_MNTHS_LAST_ORDER,POS_REVENUE_TOTAL,POS_MARGIN_TOTAL,POS_TOT_REVPERSYS,POS_LAST_ORDER_DPA,POS_LAST_TOTAL_REVENUE,POS_NUM_ORDERS_24MO,POS_SP_QTY_24MO,POS_MARGIN_TOTAL_12MO,POS_REVENUE_TOTAL_6MO,WEB_MNTHS_SINCE_LAST_SES,IID_COUNT,HH_INCOME,HH_AGE,EM_NUM_OPEN_30,SH_MNTHS_LAST_INQUIRED,SH_INQUIRED_LAST3MO,SH_INQUIRED_LAST12MO,pos_mo_btwn_fst_lst_order,WEB_CNT_IID_ACCESSED,POS_REVENUE_BASE_SP_6MO
13,1,649.99,19.22281959,3.0,0.0,8,3498.846,14.90322581,4049.014,423.504,809.8028,0,619.99,1,1,,,0.483870967,,,,,,,,49.58064516,,
14,1,83.59,25.40501792,1.0,0.0,15,3968.49,21.12903226,5106.686,-263.046,729.526571,0,159.98,2,5,,,10.15770609,,,,,,,,56.32258065,,
15,0,0.0,,1.0,0.0,2,513.99,0.903225806,662.98,308.619,,0,126.98,1,1,98.291,126.98,0.894862604,,,,,,,,86.16129032,,126.98
16,0,0.0,,2.0,0.0,2,518.59,19.80645161,730.908,146.042,730.908,0,155.36,1,2,,,8.363799283,,,,,,,,12.03225806,,
17,0,0.0,0.105734767,2.0,0.0,3,0.0,15.35483871,728.88,345.066,,0,110.94,2,12,,,4.088410991,,,,,,,,30.51612903,,
18,0,0.0,38.79271207,1.0,0.0,2,1302.564,21.80645161,1676.566,383.877,838.283,0,744.145,1,48,,,,,,,,,,,38.16129032,,
19,1,319.99,49.25149343,3.0,0.0,3,2811.491,15.12903226,3167.271,811.712,1583.6355,0,72.98,1,1,,,,8.0,99999.0,80.0,30.0,46.74193548,0.0,0.0,47.29032258,0.0,
20,0,0.0,0.927120669,1.0,0.0,8,4245.458,13.77419355,6344.072,1103.007,1586.018,0,957.97,1,1,,,13.75925926,4.0,99999.0,69.0,193.0,81.19354839,0.0,0.0,52.38709677,1.0,
21,0,0.0,22.33094385,3.0,0.0,4,1756.791,22.58064516,1961.866,229.91,653.955333,0,548.99,1,41,,,,,,,,,,,73.93548387,,
22,0,0.0,3.304659498,2.0,0.0,4,1263.0,18.32258065,1598.542,14.138,799.271,0,35.98,1,2,,,,,,,,,,,36.29032258,,
23,1,140.0,,1.0,0.0,3,769.99,11.4516129,1436.254,435.114,1436.254,1,239.0,1,1,239.0,,8.884109916,9.0,124999.0,60.0,0.0,61.12903226,0.0,0.0,23.09677419,1.0,
24,0,0.0,5.569892473,2.0,0.0,4,3320.025,21.74193548,4538.173,1075.785,1512.724333,0,199.0,1,2,,,,,,,,,,,65.5483871,,
25,0,0.0,15.57945042,1.0,0.0,7,1722.99,11.87096774,2401.953,184.586,1200.9765,0,79.99,3,8,5.834,,,,,,,,,,39.87096774,,
26,0,0.0,0.219832735,4.0,0.0,3,2815.251,5.129032258,3572.271,688.648,1190.757,0,733.41,1,1,26.658,733.41,3.0,,,,,,,,82.67741935,,663.41
27,0,0.0,12.31242533,1.0,0.0,1,864.98,18.90322581,1351.3,105.482,1351.3,1,1351.3,1,4,,,,,,,,,,,0.0,,
28,0,0.0,,3.0,0.0,2,3393.1,11.90322581,4041.09,992.005,2020.545,0,1993.1,2,37,470.088,,4.569295101,7.0,99999.0,87.0,0.0,56.0,0.0,0.0,9.516129032,1.0,
29,0,0.0,6.815412186,2.0,0.0,1,835.99,20.93548387,1143.56,337.226,1143.56,1,1143.56,1,3,,,,,,,,,,,0.0,,
30,0,0.0,1.949223416,1.0,0.0,6,2576.951,17.12903226,3873.511,1073.189,1936.7555,0,1746.58,2,8,,,0.551373954,,,,,,,,76.80645161,,
31,0,0.0,,,,1,0.0,8.483870967,68.99,29.94,,0,68.99,1,1,29.94,,,,,,,,,,0.0,,
32,1,51.98,15.53524492,2.0,0.0,30,2542.822,3.709677419,6670.939,1908.435,3335.4695,1,15.99,9,24,78.73,87.95,3.701314217,7.0,149999.0,61.0,9.0,59.64516129,0.0,0.0,95.70967742,1.0,87.95
33,1,587.99,,2.0,0.0,1,602.98,22.41935484,703.26,-7.17,703.26,0,703.26,1,2,,,,,,,,,,,0.0,,
34,0,0.0,,1.0,0.0,4,816.0,23.96774194,1224.24,299.891,1224.24,0,60.27,1,4,,,12.70011947,,,,,,,,22.51612903,,
35,0,0.0,11.1135006,1.0,0.0,1,321.49,20.87096774,327.49,-3.255,327.49,0,327.49,1,1,,,0.79390681,,,,,,,,0.0,,
36,0,0.0,10.82676225,1.0,0.0,7,0.0,14.16129032,662.22,137.59,,0,109.76,2,10,,,14.11947431,,,,,,,,50.12903226,,
37,0,0.0,34.87634409,1.0,0.0,3,1040.95,23.61290323,1360.348,346.738,1360.348,0,49.0,1,1,,,,,,,,,,,55.4516129,,
38,1,349.99,0.035244922,1.0,0.0,1,298.79,8.258064516,316.79,-59.125,316.79,0,316.79,1,1,-59.125,,8.010155316,,,,,,,,0.0,,
39,0,0.0,0.190561529,1.0,0.0,2,0.0,0.161290322,115.09,-9.35,,0,40.99,2,3,-9.35,115.09,,3.0,49999.0,47.0,4.0,26.87096774,0.0,0.0,3.129032258,0.0,115.09
40,0,0.0,1.067502986,2.0,0.0,4,661.58,4.419354838,1507.07,473.45,1507.07,0,982.11,1,3,248.93,982.11,4.192951015,9.0,14999.0,68.0,5.0,142.0967742,0.0,0.0,93.38709677,0.0,634.6
41,0,0.0,4.734169653,4.0,0.0,5,1511.93,13.16129032,2855.861,799.311,1427.9305,1,719.2,1,2,,,3.402031063,,,,,,,,81.29032258,,
42,0,0.0,22.48984468,3.0,0.0,6,1938.487,8.64516129,2628.56,343.775,876.186667,0,29.99,3,4,14.498,,,,,,,,,,85.12903226,,
43,1,2016.99,11.82198327,1.0,0.0,1,1679.0,19.41935484,1995.98,687.144,1995.98,0,1995.98,1,3,,,0.132019115,5.0,99999.0,50.0,4.0,7.93548387,0.0,1.0,0.0,1.0,
44,0,0.0,11.0,1.0,0.0,11,898.57,8.580645161,3095.72,1109.529,3095.72,1,140.0,2,3,74.75,,1.752688172,2.0,,,476.0,83.90322581,0.0,0.0,58.96774194,1.0,
45,1,14.99,0.229988052,1.0,0.0,4,798.604,8.29032258,858.574,-59.376,429.287,0,29.98,3,47,8.87,,7.43548387,3.0,74999.0,57.0,790.0,129.0645161,0.0,0.0,51.61290323,1.0,
46,0,0.0,15.30943847,2.0,0.0,1,440.99,21.5483871,497.948,-30.065,497.948,0,497.948,1,1,,,,,,,,,,,0.0,,
47,1,39.98,,1.0,0.0,8,923.814,17.03225806,1256.484,289.571,1256.484,0,35.98,1,2,,,0.342891278,,,,,,,,42.77419355,,
48,0,0.0,21.77060932,1.0,0.0,9,5342.978,22.64516129,6153.801,-1304.976,2051.267,0,369.99,1,1,,,,,,,,,,,39.93548387,,
49,1,659.98,,1.0,0.0,1,729.78,0.096774193,748.78,101.339,748.78,0,748.78,1,2,101.339,748.78,0.013142174,3.0,99999.0,64.0,75.0,22.74193548,0.0,0.0,0.0,0.0,730.78
50,0,0.0,28.72819594,1.0,0.0,3,1119.567,19.4516129,1231.542,-6.188,410.514,0,308.99,1,1,,,19.05973716,,,,,,,,74.12903226,,
51,0,0.0,,,,7,1018.994,22.4516129,1753.579,339.893,1753.579,0,89.0,1,1,,,,,,,,,,,80.70967742,,
52,1,75.96,45.34169654,2.0,0.0,17,958.972,5.29032258,2637.57,745.66,2637.57,0,85.47,5,15,192.449,85.47,5.269414575,8.0,74999.0,87.0,3.0,127.2258065,0.0,0.0,92.03225806,1.0,85.47
53,0,0.0,39.20908005,2.0,0.0,3,3423.05,13.96774194,3643.05,471.282,1214.35,0,1169.0,1,1,,,13.67204301,,,,,,,,72.22580645,,
54,0,0.0,,,,1,0.0,9.870967741,31.98,6.04,,1,31.98,1,2,6.04,,1.82855436,,,,,,,,0.0,,
55,0,0.0,,1.0,0.0,1,129.99,1.129032258,129.99,-29.168,,0,129.99,1,1,-29.168,129.99,1.092592592,4.0,14999.0,50.0,24.0,21.70967742,0.0,0.0,0.0,0.0,129.99
56,0,0.0,1.0,1.0,1.0,1,1414.83,2.419354838,1784.78,271.394,1784.78,0,1784.78,1,4,271.394,1784.78,1.801075268,4.0,124999.0,50.0,5.0,23.03225806,0.0,0.0,0.0,0.0,1694.8
57,0,0.0,1.517921146,1.0,0.0,8,2324.588,4.93548387,2863.608,-38.644,715.902,0,110.0,2,4,-178.718,538.97,0.879330943,,,,,,,,70.29032258,,481.99
58,0,0.0,17.22640382,2.0,0.0,1,582.88,18.48387097,683.16,45.655,683.16,0,683.16,1,1,,,,,,,,,,,0.0,,
59,0,0.0,1.426523297,3.0,0.0,7,6095.17,0.419354838,6372.15,519.891,910.307143,0,693.96,2,2,89.516,1153.79,0.406212664,,,,,,,,105.8064516,,968.81
60,0,0.0,,2.0,0.0,1,771.98,2.870967741,789.98,119.9,789.98,0,789.98,1,1,119.9,789.98,2.859617682,,,,,,,,0.0,,771.98
61,0,0.0,22.42413381,2.0,0.0,7,3958.107,7.870967741,4554.696,838.108,759.116,0,664.98,2,3,67.569,,7.85902031,6.0,249999.0,76.0,67.0,53.64516129,0.0,0.0,87.96774194,1.0,
62,0,0.0,12.6827957,2.0,1.0,2,1361.99,10.22580645,1676.98,507.09,1676.98,1,1437.98,1,2,387.45,,1.735961768,,,,,,,,34.67741935,,
63,0,0.0,6.229988052,2.0,0.0,4,2751.99,10.70967742,3344.767,-127.315,668.9534,0,562.96,1,2,-29.457,,4.240143369,,,,,,,,47.87096774,,
64,0,0.0,11.35663082,2.0,0.0,8,1748.003,20.83870968,2029.212,25.585,676.404,0,440.99,1,1,,,,,,,,,,,70.12903226,,
65,0,0.0,0.163082437,4.0,0.0,4,1409.197,0.612903225,1500.557,69.048,500.185667,0,299.99,1,1,-33.155,299.99,13.0525687,5.0,,43.0,311.0,10.77419355,0.0,1.0,91.06451613,1.0,281.99
66,0,0.0,,1.0,0.0,2,857.98,17.80645161,1003.938,284.11,1003.938,0,89.0,1,1,,,,,,,,,,,7.161290322,,
67,0,0.0,,2.0,0.0,12,1725.92,3.612903225,3351.87,398.366,,0,98.0,1,1,55.51,98.0,3.590203106,,,,,,,,79.38709677,,98.0
68,1,779.99,0.628434886,3.0,0.0,6,5016.214,22.87096774,5397.254,913.756,1079.4508,0,1442.15,1,2,,,,,,,,,,,77.83870968,,
69,0,0.0,0.504778972,16.0,0.0,34,14396.482,12.25806452,21591.703,5388.664,1799.308583,0,927.97,3,3,,,0.89725209,163.0,,52.0,252.0,4.64516129,0.0,1.0,109.7096774,2.0,
70,0,0.0,1.962365591,1.0,0.0,1,667.99,17.93548387,678.99,99.2,678.99,0,678.99,1,1,,,,,,,,,,,0.0,,
71,0,0.0,,2.0,0.0,1,388.99,21.41935484,391.99,-42.617,391.99,0,391.99,1,1,,,,,,,,,,,0.0,,
72,1,84.99,1.930107526,1.0,0.0,1,1630.98,7.516129032,1985.94,391.999,1985.94,1,1985.94,1,6,391.999,,0.111708482,,,,,,,,0.0,,
73,0,0.0,54.32795699,1.0,0.0,2,1855.519,23.48387097,2090.353,586.599,2090.353,1,824.0,1,1,,,,,,,,,,,64.03225806,,
74,0,0.0,,1.0,1.0,1,1798.0,6.193548387,1798.0,399.629,1798.0,1,1798.0,1,1,399.629,,1.005376344,,,,,,,,0.0,,
75,1,293.88,0.752688172,1.0,0.0,13,199.49,0.806451612,3552.21,342.627,,1,288.97,13,37,200.837,1266.94,0.224611708,7.0,49999.0,73.0,27.0,45.35483871,0.0,0.0,23.0,1.0,1217.94
76,1,414.0,0.082437275,1.0,0.0,16,2063.822,5.129032258,2826.812,164.556,942.270667,1,55.97,5,15,17.03,55.97,0.32078853,,,,,,,,94.74193548,,55.97
77,0,0.0,1.521505376,3.0,0.0,6,3366.464,20.48387097,5032.59,1512.925,1258.1475,1,882.95,1,3,,,0.862007168,,,,,,,,88.90322581,,
78,1,955.98,0.070489844,3.0,0.0,17,2528.14,8.096774193,5263.65,735.678,5263.65,1,69.98,3,6,80.94,,0.344086021,,,,,,,,99.16129032,,
79,0,0.0,14.91218638,3.0,0.0,3,9250.249,15.80645161,10926.725,3586.282,5463.3625,0,6020.96,1,6,,,,,,,,,,,54.0,,
80,1,128.96,0.719832735,4.0,0.0,13,140.74,3.451612903,1342.53,391.057,,0,123.96,7,29,153.173,123.96,3.444444444,2.0,,50.0,22.0,112.6451613,0.0,0.0,85.93548387,1.0,123.96
81,1,209.98,13.32497013,2.0,1.0,19,3197.35,16.0,7517.801,770.59,1879.45025,1,887.38,2,4,,,0.37037037,14.0,24999.0,57.0,46.0,46.41935484,0.0,0.0,35.5483871,1.0,
82,0,0.0,2.273596176,2.0,0.0,2,2980.52,9.354838709,3121.49,369.254,,0,134.97,2,14,369.254,,0.818399044,,,,,,,,0.903225806,,
83,0,0.0,,2.0,0.0,1,0.0,12.64516129,114.99,8.83,,0,114.99,1,1,,,12.61529271,,,,,,,,0.0,,
84,0,0.0,48.3255675,1.0,0.0,7,1715.89,7.93548387,2511.492,118.081,1255.746,0,99.99,2,2,-30.449,,3.0,,,,,,,,87.06451613,,
85,1,365.0,0.114097968,3.0,0.0,21,9549.9,0.677419354,12718.287,-2327.666,1156.207909,0,695.0,1,2,-413.421,695.0,0.021505376,,,,,,,,99.83870968,,625.0
86,0,0.0,0.044802867,1.0,0.0,2,68.99,1.741935483,123.17,-56.57,,0,53.18,2,5,-56.57,123.17,,4.0,14999.0,29.0,52.0,5.903225806,0.0,1.0,2.0,0.0,123.17
87,1,815.43,0.073476702,1.0,0.0,13,1246.3,12.74193548,4867.322,466.084,4867.322,1,126.26,1,5,,,0.043010752,8.0,74999.0,40.0,147.0,79.70967742,0.0,0.0,68.0,1.0,
88,0,0.0,1.562724014,1.0,0.0,1,2161.69,17.32258065,2207.67,439.502,2207.67,1,2207.67,1,2,,,0.672640382,,,,,,,,0.0,,
89,0,0.0,20.02867384,1.0,1.0,1,0.0,20.67741935,549.0,32.33,,0,549.0,1,2,,,,,,,,,,,0.0,,
90,1,908.96,,4.0,0.0,16,1234.86,9.451612903,7900.567,1691.557,7900.567,1,378.0,3,5,189.13,,1.033452807,,,,,,,,95.38709677,,
91,1,63.98,35.59259259,2.0,0.0,5,680.587,11.80645161,1025.552,138.142,1025.552,0,63.98,3,9,22.52,,7.958781362,4.0,149999.0,43.0,25.0,46.25806452,0.0,0.0,91.38709677,1.0,
92,0,0.0,,3.0,0.0,29,3544.219,3.870967741,6808.353,1342.132,1702.08825,1,59.99,7,12,-7.65,71.98,0.021505376,,,,,,,,90.12903226,,71.98
93,0,0.0,,2.0,0.0,3,1859.164,2.129032258,1931.88,273.723,643.96,0,549.99,1,1,52.32,549.99,2.120071684,,,,,,,,90.19354839,,531.99
94,0,0.0,,3.0,0.0,1,0.0,2.838709677,109.99,22.94,,0,109.99,1,1,22.94,109.99,,,,,,,,,0.0,,109.99
95,0,0.0,17.10454002,2.0,0.0,1,780.99,22.19354839,875.16,116.801,875.16,0,875.16,1,1,,,,,,,,,,,0.0,,
96,0,0.0,,2.0,0.0,7,4264.827,1.161290322,5079.798,500.253,846.633,0,1324.82,1,6,160.455,1324.82,0.072281959,4.0,24999.0,35.0,21.0,74.93548387,0.0,0.0,85.96774194,0.0,1236.82
97,0,0.0,16.35125448,2.0,1.0,9,1863.511,15.5483871,2978.539,870.082,992.846333,0,59.0,1,1,,,5.197132616,9.0,99999.0,60.0,206.0,83.90322581,0.0,0.0,74.93548387,1.0,
98,1,366.54,56.90800478,5.0,0.0,4,542.2,0.129032258,2014.207,342.675,2014.207,1,689.92,2,20,171.0,1209.87,,12.0,99999.0,61.0,4.0,22.96774194,0.0,0.0,95.38709677,0.0,1209.87
99,0,0.0,,1.0,0.0,1,0.0,20.64516129,65.99,49.28,,0,65.99,1,1,,,,,,,,,,,0.0,,
100,0,0.0,1.437873357,1.0,0.0,1,0.0,4.387096774,20.0,4.707,,0,20.0,1,1,4.707,20.0,4.21027479,,,,,,,,0.0,,20.0
101,1,59.99,0.023894862,3.0,0.0,13,4030.694,0.064516129,5714.774,-1127.824,952.462333,0,1.96,2,6,-175.943,1.96,0.052568697,7.0,74999.0,91.0,162.0,142.0967742,0.0,0.0,108.7096774,0.0,1.96
102,0,0.0,,1.0,0.0,1,0.0,18.25806452,135.99,111.828,,0,135.99,1,1,,,,,,,,,,,0.0,,
103,0,0.0,3.871565113,1.0,0.0,1,545.99,20.38709677,588.97,13.514,588.97,0,588.97,1,1,,,20.07885305,,,,,,,,0.0,,
104,0,0.0,,2.0,0.0,25,1374.844,23.19354839,5624.434,847.816,5624.434,0,40.98,1,1,,,13.28793309,,,,,,,,84.48387097,,
105,0,0.0,,3.0,0.0,8,1518.19,20.38709677,2385.48,752.666,2385.48,0,79.0,1,1,,,,,,,,,,,75.61290323,,
106,0,0.0,12.83094385,1.0,0.0,1,0.0,15.16129032,136.0,98.077,,0,136.0,1,1,,,13.52807646,,,,,,,,0.0,,
107,1,29.99,0.269414575,2.0,0.0,4,1862.0,0.580645161,1922.94,250.711,1922.94,0,29.99,2,3,111.26,533.99,0.028076463,16.0,124999.0,66.0,,29.41935484,0.0,0.0,102.8387097,0.0,533.99
108,0,0.0,,1.0,0.0,1,299.99,18.51612903,299.99,-124.322,,0,299.99,1,1,,,,4.0,34999.0,35.0,,49.06451613,0.0,0.0,0.0,0.0,
109,0,0.0,24.09199522,2.0,0.0,1,0.0,7.29032258,96.99,41.783,,0,96.99,1,1,41.783,,6.550179211,,,,,,,,0.0,,
110,1,549.99,0.38948626,6.0,0.0,10,4179.922,1.161290322,4851.579,274.973,693.082714,0,588.88,3,7,-115.466,2098.86,1.148745519,7.0,149999.0,49.0,949.0,30.93548387,0.0,0.0,105.8709677,1.0,2044.86
111,0,0.0,0.429510155,1.0,0.0,1,4.95,3.580645161,104.94,52.37,,0,104.94,1,1,52.37,104.94,2.092592592,,,,,,,,0.0,,104.94
112,1,150.99,2.558542413,2.0,0.0,13,9780.957,15.58064516,12061.386,2318.728,1507.67325,1,699.0,2,5,,,3.634408602,5.0,24999.0,75.0,267.0,77.67741935,0.0,0.0,88.09677419,1.0,
113,0,0.0,10.32616487,2.0,0.0,3,550.39,8.741935483,814.37,51.719,814.37,0,568.39,1,1,53.861,,8.723416965,,,,,,,,48.96774194,,
114,0,0.0,38.74611708,3.0,0.0,4,2308.255,9.709677419,2777.434,516.651,1388.717,0,1513.97,1,1,345.786,,,,,,,,,,70.83870968,,
115,0,0.0,,1.0,0.0,5,2032.98,21.5483871,2775.91,123.285,693.9775,0,633.97,1,1,,,,,,,,,,,26.12903226,,
116,0,0.0,,1.0,0.0,7,1040.99,19.38709677,1640.902,266.937,820.451,0,39.0,1,1,,,,,,,,,,,77.93548387,,
117,0,0.0,13.27598566,10.0,0.0,7,1498.727,17.41935484,2355.602,747.379,1177.801,0,1270.15,1,2,,,,,,,,,,,81.64516129,,
118,0,0.0,0.23297491,1.0,0.0,2,468.945,13.32258065,1218.934,-149.985,1218.934,0,749.99,1,2,,,9.913978494,,,,,,,,66.61290323,,
119,0,0.0,13.03046595,1.0,0.0,5,463.99,16.51612903,1086.47,147.198,1086.47,1,469.99,1,1,,,9.393070489,,,,,,,,68.48387097,,
120,0,0.0,18.06690562,1.0,0.0,2,588.98,23.51612903,1174.91,234.163,1174.91,1,298.95,1,3,,,1.191756272,,,,,,,,13.58064516,,
121,1,368.95,51.1176822,2.0,0.0,10,2087.604,8.903225806,3481.806,983.701,1160.602,0,59.0,4,68,459.408,,8.880525686,,,,,,,,48.06451613,,
122,1,119.99,0.151732377,2.0,0.0,2,1372.484,5.0,1526.493,90.685,763.2465,0,678.97,1,1,0.347,678.97,0.533452807,16.0,149999.0,30.0,1.0,23.5483871,0.0,0.0,98.0,0.0,621.99
123,1,59.99,,1.0,1.0,2,0.0,1.483870967,717.98,25.53,,0,119.98,2,5,25.53,717.98,0.412186379,10.0,250001.0,74.0,0.0,25.77419355,0.0,0.0,1.64516129,0.0,717.98
124,0,0.0,,1.0,1.0,20,1051.644,20.03225806,3630.383,459.119,3630.383,1,1007.98,2,3,,,,,,,,,,,79.67741935,,
125,0,0.0,1.379330943,1.0,0.0,1,1091.98,15.87096774,1177.94,28.614,588.97,0,1177.94,1,2,,,13.25448029,,,,,,,,0.0,,
126,0,0.0,28.40561529,2.0,0.0,7,1097.15,12.29032258,1620.86,175.102,810.43,0,588.97,1,1,,,11.47610514,,,,,,,,87.38709677,,
127,0,0.0,0.750896057,3.0,0.0,10,2561.654,12.83870968,4743.444,605.384,1581.148,1,849.97,2,5,,,9.802270011,6.0,149999.0,60.0,330.0,58.22580645,0.0,0.0,87.22580645,2.0,
128,0,0.0,,1.0,0.0,1,0.0,2.225806451,115.99,92.651,,0,115.99,1,1,92.651,115.99,2.130824372,,,,,,,,0.0,,115.99
129,1,139.99,0.198327359,2.0,0.0,9,13088.433,0.258064516,16714.973,4812.712,3342.9946,1,2596.97,1,2,713.455,2596.97,0.050776583,,,,,,,,94.19354839,,2290.63
130,0,0.0,,3.0,0.0,2,359.99,4.064516129,423.99,-36.671,423.99,0,408.99,1,1,-33.499,408.99,3.815412186,,,,,,,,31.0,,359.99
131,0,0.0,29.10095579,2.0,0.0,4,611.86,16.32258065,778.29,12.616,778.29,0,59.0,1,1,,,,6.0,49999.0,66.0,6.0,46.96774194,0.0,0.0,66.0,0.0,
132,0,0.0,44.71565114,2.0,0.0,9,3833.192,22.0,4535.834,718.292,1133.9585,0,82.77,1,4,,,5.399044205,,,,,,,,89.48387097,,
133,0,0.0,14.11469534,4.0,0.0,16,2890.601,23.48387097,5533.998,1347.745,1844.666,1,249.0,1,1,,,0.020908004,,,,,,,,73.64516129,,
134,1,279.96,,2.0,0.0,7,2302.912,4.483870967,3198.439,-79.689,799.60975,1,799.98,5,14,-20.852,1065.94,2.796296296,5.0,174999.0,51.0,46.0,63.41935484,0.0,0.0,51.67741935,1.0,967.94
135,0,0.0,2.751493428,3.0,0.0,2,1974.0,10.03225806,2046.99,427.189,2046.99,0,1974.0,1,1,411.119,,9.787933094,12.0,174999.0,63.0,68.0,9.516129032,0.0,1.0,81.22580645,2.0,
136,0,0.0,1.296893667,1.0,0.0,12,1793.67,1.612903225,3500.91,1092.49,1750.455,0,140.0,3,3,412.7,140.0,1.566308243,3.0,99999.0,64.0,93.0,77.67741935,0.0,0.0,157.4193548,1.0,0.0
137,0,0.0,2.130227001,1.0,0.0,5,1928.02,9.93548387,2518.643,578.368,839.547667,1,159.99,4,9,250.24,,9.945041816,,,,,,,,39.51612903,,
138,0,0.0,1.0,4.0,0.0,11,3180.156,23.32258065,4532.321,765.483,906.4642,0,508.99,1,1,,,,,,,,,,,68.93548387,,
139,1,143.99,,2.0,0.0,5,2020.8,22.03225806,3132.9,894.431,1566.45,0,888.97,1,1,,,,3.0,199999.0,52.0,,78.67741935,0.0,0.0,34.16129032,0.0,
140,0,0.0,11.41577061,6.0,0.0,13,2023.807,14.25806452,3471.193,-238.487,1157.064333,0,26.98,4,8,,,,12.0,149999.0,74.0,59.0,17.32258065,0.0,0.0,72.19354839,0.0,
141,0,0.0,0.078255675,2.0,0.0,16,6438.949,6.032258064,8152.693,1517.064,1164.670429,0,241.711,2,3,267.705,,0.074074074,5.0,124999.0,52.0,173.0,79.09677419,0.0,0.0,87.12903226,1.0,
142,1,59.99,1.111708482,2.0,0.0,8,2471.111,4.129032258,4482.58,1473.272,1494.193333,1,426.183,4,12,293.274,426.183,,5.0,124999.0,73.0,15.0,43.0,0.0,0.0,88.87096774,0.0,0.0
143,0,0.0,0.418757467,1.0,0.0,1,0.0,1.0,47.99,3.87,,0,47.99,1,1,3.87,47.99,,,,,,,,,0.0,,47.99
144,1,27.88,0.112305854,3.0,0.0,6,3331.547,1.225806451,4140.133,268.327,1380.044333,0,24.44,2,8,181.148,532.61,0.266427718,6.0,199999.0,43.0,615.0,150.0967742,0.0,0.0,70.77419355,1.0,532.61
145,0,0.0,,,,1,0.0,12.90322581,65.98,21.88,,0,65.98,1,2,,,15.9474313,,,,,,,,0.0,,
146,0,0.0,,4.0,0.0,31,25854.339,22.16129032,30644.613,4479.559,1225.78452,0,2625.0,1,1,,,0.111111111,11.0,249999.0,86.0,152.0,105.8064516,0.0,0.0,103.2580645,1.0,
